no,org_name,logo,cat,minis,y,diff_90,diff_00,diff_01,diff_14,diff_19,diff_20,diff_34,diff_49,diff_57,90_b4_mili,90_b4_total,94_aft_mili,94_aft_total,00_b4_mili,00_b4_total,00_aft_mili,00_aft_total,01_b4_mili,01_b4_total,01_aft_mili,01_aft_total,14_b4_mili,14_b4_total,14_aft_mili,14_aft_total,19_b4_mili,19_b4_total,19_aft_mili,19_aft_total,20_b4_mili,20_b4_total,20_aft_mili,20_aft_total,34_b4_mili,34_b4_total,34_aft_mili,34_aft_total,49_b4_mili,49_b4_total,49_aft_mili,49_aft_total,57_b4_mili,57_b4_total,57_aft_mili,57_aft_total
1,การกีฬาแห่งประเทศไทย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/604.jpg,สังคมและเทคโนโลยี,กระทรวงการท่องเที่ยวและกีฬา,2528,na,na,na,na,na,na,-10.00%,-10.00%,33.33%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,10,1,10,0,6,0,5,1,3
2,การเคหะแห่งชาติ,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/keha.jpg,สาธารณูปการ,กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,2516,na,na,na,na,0.00%,10.00%,23.08%,0.00%,30.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,1,10,0,10,3,13,0,10,0,10,0,9,3,10
3,การท่องเที่ยวแห่งประเทศไทย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/qw1.jpg,สังคมและเทคโนโลยี,กระทรวงการท่องเที่ยวและกีฬา,2522,na,na,na,na,na,na,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,3,0,3,0,12,0,15
4,การทางพิเศษแห่งประเทศไทย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/l14.png,ขนส่ง,กระทรวงคมนาคม,2515,na,na,na,na,-10.00%,0.00%,24.44%,0.00%,50.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,0,10,0,10,2,10,4,9,0,8,0,8,0,5,2,4
5,การท่าเรือแห่งประเทศไทย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/nikom.jpg,ขนส่ง,กระทรวงคมนาคม,2494,38.10%,0.00%,10.00%,-23.64%,-16.36%,7.27%,5.00%,12.22%,6.36%,2,6,5,7,2,4,2,4,2,4,3,5,3,5,4,11,4,11,2,10,2,10,3,11,2,10,2,8,1,10,2,9,3,10,4,11
6,การนิคมอุตสาหกรรมแห่งประเทศไทย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/nikom.jpg,สาธารณูปการ,กระทรวงอุตสาหกรรม,2515,na,na,na,na,0.00%,0.00%,0.00%,10.00%,8.89%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,4,0,4,0,7,0,10,0,10,1,10,1,9,2,10
7,การประปานครหลวง,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/papa.jpg,สาธารณูปการ,กระทรวงมหาดไทย,2510,na,na,na,-20.00%,0.00%,10.00%,33.33%,0.00%,11.67%,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,10,0,10,0,10,0,10,1,10,0,10,4,12,1,13,1,13,1,12,2,10
8,การประปาส่วนภูมิภาค,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/602..jpg,สาธารณูปการ,กระทรวงมหาดไทย,2522,na,na,na,na,na,na,36.36%,12.50%,42.86%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,1,8,2,8,0,8,3,7
9,การไฟฟ้านครหลวง,http://www.sepo.go.th/images/l4.jpg,พลังงาน,กระทรวงมหาดไทย,2501,na,na,17.78%,-5.71%,0.00%,19.05%,25.00%,14.29%,21.43%,0,0,0,0,0,0,0,0,2,9,2,5,1,5,1,7,1,7,1,7,1,7,2,6,0,5,3,12,0,13,2,14,0,12,3,14
10,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,http://www.sepo.go.th/images/l3.jpg,พลังงาน,กระทรวงพลังงาน,2511,na,na,na,0.00%,0.00%,0.00%,-8.89%,10.00%,28.57%,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,5,2,5,2,5,2,5,2,5,2,10,1,9,0,10,1,10,0,10,2,7
11,การไฟฟ้าส่วนภูมิภาค,http://www.sepo.go.th/images/l2.jpg,พลังงาน,กระทรวงมหาดไทย,2503,na,na,na,0.00%,0.00%,0.00%,33.33%,0.00%,30.00%,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,10,0,10,0,10,0,10,0,9,0,5,4,12,1,14,1,14,0,14,3,10
12,การยางแห่งประเทศไทย,http://www.sepo.go.th/images/gyt.png,เกษตร,กระทรวงเกษตรและสหกรณ์,2504,na,na,na,0.00%,0.00%,0.00%,-50.00%,-12.50%,16.67%,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,3,0,3,0,3,0,3,1,2,0,2,1,8,0,7,0,8,1,6
13,การยาสูบแห่งประเทศไทย,http://www.sepo.go.th/images/icon4.png,อุตสาหกรรมและพาณิชยกรรม,กระทรวงการคลัง,2482,na,na,na,na,na,na,na,0.91%,13.89%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,10,1,12,2,9
14,การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย,http://www.sepo.go.th/images/l12.jpg,ขนส่ง,กระทรวงคมนาคม,2535,na,na,na,na,na,na,na,0.00%,40.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,2,5
15,การรถไฟแห่งประเทศไทย,http://www.sepo.go.th/images/l11.jpg,ขนส่ง,กระทรวงคมนาคม,2494,-3.57%,0.00%,15.00%,-58.33%,33.33%,7.14%,-14.29%,0.00%,25.00%,2,7,1,4,1,4,1,4,1,4,2,5,3,4,1,6,1,6,3,6,3,6,4,7,2,7,1,7,0,7,0,7,0,7,1,4
16,ธนาคารกรุงไทย จำกัด (มหาชน),http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/we1.jpg,สถาบันการเงิน,กระทรวงการคลัง,2509,na,na,na,na,na,na,na,na,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
17,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/we2.jpg,สถาบันการเงิน,กระทรวงการคลัง,2545,na,na,na,na,na,na,na,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,10,0,10
18,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/we3.jpg,สถาบันการเงิน,กระทรวงการคลัง,2509,na,na,na,0.00%,-10.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,11,1,10,0,9,0,9,0,2,0,9,0,9,0,12,0,12,0,13,0,13
19,ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/we4.jpg,สถาบันการเงิน,กระทรวงการคลัง,2536,na,na,na,na,na,na,na,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5
20,ธนาคารออมสิน,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/we5.jpg,สถาบันการเงิน,กระทรวงการคลัง,2489,12.50%,0.00%,12.12%,0.00%,0.00%,-1.39%,0.00%,0.00%,11.11%,0,9,1,8,3,9,3,9,3,9,5,11,5,11,5,11,1,8,1,8,1,8,1,9,0,9,0,9,0,12,0,12,0,14,1,9
21,ธนาคารอาคารสงเคราะห์,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/705.jpg,สถาบันการเงิน,กระทรวงการคลัง,2496,na,4.76%,-33.33%,0.00%,14.29%,0.00%,0.00%,0.00%,12.50%,0,0,0,0,2,7,1,3,1,3,0,3,0,3,0,7,0,7,1,7,1,7,1,7,0,7,0,7,0,8,0,7,0,7,1,8
22,ธนาคารอิสลามแห่งประเทศไทย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/we7.jpg,สถาบันการเงิน,กระทรวงการคลัง,2545,na,na,na,na,na,na,na,0.00%,11.11%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,7,1,9
23,บริษัท ขนส่ง จำกัด,http://www.sepo.go.th/images/l9.jpg,ขนส่ง,กระทรวงคมนาคม,2503,na,na,na,na,na,na,na,na,25.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
24,บรรษัทตลาดรองสินเชื่อที่อยู่อาศัย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/we8.jpg,สถาบันการเงิน,กระทรวงการคลัง,2545,na,na,na,na,na,na,na,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,3
25,บรรษัทประกันสินเชื่ออุตสาหกรรมขนาดย่อม,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/sbcg.jpg,สถาบันการเงิน,กระทรวงการคลัง,2534,na,na,na,na,na,na,na,na,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,9
26,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),http://www.sepo.go.th/images/l18.jpg,สื่อสาร,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,2519,na,na,na,na,na,22.22%,25.00%,na,19.48%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,9,1,8,3,8,0,0,0,0,1,11,4,14
27,บริษัท การบินไทย จำกัด (มหาชน),http://www.sepo.go.th/images/l10.jpg,ขนส่ง,กระทรวงคมนาคม,2503,na,na,na,na,na,na,na,21.43%,6.67%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,14,3,15,4,15
28,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),http://www.sepo.go.th/images/l8.jpg,ขนส่ง,กระทรวงคมนาคม,2522,na,na,na,na,na,na,0.00%,7.50%,7.69%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,2,16,3,15,2,13,3,13
29,บริษัท ทีโอที จำกัด (มหาชน),http://www.sepo.go.th/images/l17.jpg,สื่อสาร,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,2497,na,0.00%,0.00%,0.00%,7.14%,0.00%,14.29%,12.22%,0.95%,0,0,0,0,3,7,3,7,3,7,3,7,3,7,3,7,3,7,3,6,3,6,3,6,2,7,3,7,1,10,2,9,2,15,2,14
30,บริษัท ​ธนารักษ์พัฒนาสินทรัพย์ จำกัด,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/904.jpg,สาธารณูปการ,กระทรวงการคลัง,2547,na,na,na,na,na,na,na,na,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9
31,บริษัท ปตท. จำกัด (มหาชน),http://www.sepo.go.th/images/l1.jpg,พลังงาน,กระทรวงพลังงาน,2521,na,na,na,na,na,na,-3.33%,5.64%,15.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,6,1,13,2,15,0,15,2,13
32,บริษัท ไปรษณีย์ไทย จำกัด,http://www.sepo.go.th/images/l16.jpg,สื่อสาร,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,2519,na,na,na,na,na,22.22%,25.00%,20.00%,11.11%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,9,1,8,3,8,1,10,3,10,0,11,1,9
34,บริษัท อสมท จำกัด (มหาชน),http://www.sepo.go.th/images/l15.jpg,สื่อสาร,สำนักนายกรัฐมนตรี,2520,na,na,na,na,na,na,-22.22%,0.00%,0.55%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,6,0,12,0,10,1,14,1,13
37,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,http://www.sepo.go.th/images/l7.jpg,สื่อสาร,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,2519,na,na,na,na,na,na,na,na,8.08%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,9
40,สถาบันการบินพลเรือน,http://www.sepo.go.th/images/l6.jpg,ขนส่ง,กระทรวงคมนาคม,2535,na,na,na,na,na,na,na,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,2,3,2,3
41,สถาบันวิจัยวิทยาศาสตร์และเทคโนโลยีแห่งประเทศไทย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/501.jpg,สังคมและเทคโนโลยี,กระทรวงวิทยาศาสตร์และเทคโนโลยี,2506,na,na,na,0.00%,0.00%,na,na,na,10.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,10
43,สำนักงานสลากกินแบ่งรัฐบาล,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/aq3.jpg,อุตสาหกรรมและพาณิชยกรรม,กระทรวงการคลัง,2517,na,na,na,na,0.00%,0.00%,0.00%,0.00%,16.67%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3,1,3,0,3,0,3,0,2,0,2,1,3,2,4
44,องค์การขนส่งมวลชนกรุงเทพ,http://www.sepo.go.th/images/l5.jpg,ขนส่ง,กระทรวงคมนาคม,2519,na,na,na,na,12.50%,9.72%,10.00%,0.00%,14.29%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,8,1,8,2,9,0,10,1,10,1,10,1,10,0,7,1,7
45,องค์การคลังสินค้า,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/pwo_t1.jpg,เกษตร,กระทรวงพาณิชย์,2498,na,0.00%,0.00%,0.00%,-12.50%,0.00%,0.00%,-2.38%,20.00%,0,0,0,0,0,8,0,8,0,8,0,8,0,8,0,10,1,8,0,9,0,9,0,9,0,9,0,7,1,6,1,7,0,7,1,5
46,องค์การจัดการน้ำเสีย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/wa.jpg,สาธารณูปการ,กระทรวงมหาดไทย,2538,na,na,na,na,na,na,na,20.00%,25.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,7,1,4
47,องค์การตลาด,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/aq5.jpg,อุตสาหกรรมและพาณิชยกรรม,กระทรวงมหาดไทย,2496,na,-5.56%,0.00%,0.00%,0.00%,0.00%,0.00%,-7.14%,-14.29%,0,0,0,0,1,18,0,11,0,11,0,15,0,15,0,10,0,10,0,6,0,6,0,8,0,10,0,10,1,14,0,14,2,14,0,8
48,องค์การตลาดเพื่อเกษตรกร,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/ff.jpg,เกษตร,กระทรวงเกษตรและสหกรณ์,2517,na,na,na,na,0.00%,16.67%,0.00%,0.00%,2.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,6,1,6,0,6,0,7,0,6,0,7,1,7,1,6
49,องค์การพิพิธภัณฑ์วิทยาศาสตร์แห่งชาติ,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/w1.jpg,สังคมและเทคโนโลยี,กระทรวงวิทยาศาสตร์และเทคโนโลยี,2538,na,na,na,na,na,na,na,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,5,0,6
50,องค์การเภสัชกรรม,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/s1.jpg,สังคมและเทคโนโลยี,กระทรวงสาธารณสุข,2509,na,na,na,0.55%,0.00%,0.00%,0.00%,0.00%,16.67%,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,13,0,11,0,10,0,10,0,10,0,9,0,10,0,14,0,11,0,10,2,12
51,องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/qq.jpg,เกษตร,กระทรวงเกษตรและสหกรณ์,2514,na,na,na,0.00%,0.00%,0.00%,0.00%,0.00%,-25.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,5,0,4,0,4,0,3,0,3,0,4,1,4,0,4
52,องค์การสวนพฤกษศาสตร์,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/503.JPG,ทรัพยากรธรรมชาติ,กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,2535,na,na,na,na,na,na,na,0.00%,14.29%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,9,1,7
53,องค์การสวนสัตว์,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/605.jpg,ทรัพยากรธรรมชาติ,กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,2497,na,0.00%,9.09%,0.00%,0.00%,20.00%,0.00%,0.00%,17.50%,0,0,0,0,1,11,1,11,1,11,2,11,0,9,0,9,0,9,0,9,0,9,2,10,0,11,0,11,1,10,1,10,1,8,3,10
54,องค์การสะพานปลา,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/sw.jpg,เกษตร,กระทรวงเกษตรและสหกรณ์,2496,na,0.00%,-14.29%,14.29%,0.00%,0.00%,14.29%,14.29%,-2.38%,0,0,0,0,1,7,1,7,1,7,0,7,0,7,1,7,0,7,0,7,0,7,0,7,0,7,1,7,0,6,1,7,1,6,1,7
55,องค์การสุรา กรมสรรพสามิต,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/spi.jpg,อุตสาหกรรมและพาณิชยกรรม,กระทรวงการคลัง,2506,na,na,na,na,na,na,na,na,10.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,10
56,องค์การอุตสาหกรรมป่าไม้,http://www.sepo.go.th/tinymce/plugins/filemanager/thumbs/SEPO/icon2/aw.jpg,ทรัพยากรธรรมชาติ,กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,2499,na,75.00%,na,na,0.00%,0.00%,-16.67%,77.78%,0.00%,0,0,0,0,1,4,2,2,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,2,6,1,6,2,9,3,3,1,3,2,6